readcode,readterm,cat
B314z,Malig neop of connective and soft tissue of abdomen NOS,Any malignancy
B00..,Malignant neoplasm of lip,Any malignancy
B35z0,Malignant neoplasm of ectopic site of male breast,Any malignancy
B8272,Carcinoma in situ of skin of knee,Any malignancy
BB81E,[M]Mucinous cystadenocarcinoma NOS,Any malignancy
B08z.,Malignant neoplasm of hypopharynx NOS,Any malignancy
1541C,RECTUM CARCINOMA,Any malignancy
B630.,Multiple myeloma,Any malignancy
B3254,Malignant melanoma of perianal skin,Any malignancy
1732A,MALIGNANT NEOPLASM AUDITORY CANAL,Any malignancy
ZV104,[V]Personal history malignant neoplasm - male genital organ,Any malignancy
BBL4.,"[M]Mixed tumour, malignant, NOS",Any malignancy
BBT1.,[M]Angiosarcoma,Any malignancy
BB5D7,[M]Combined hepatocellular carcinoma and cholangiocarcinoma,Any malignancy
174 C,CARCINOMA BREAST,Any malignancy
BB11.,[M]Intraepithelial carcinoma NOS,Any malignancy
B24X.,"Malignant neoplasm of mediastinum, part unspecified",Any malignancy
1429B,SALIVARY GLAND MALIGNANT NEOPLASM,Any malignancy
B173.,Malignant neoplasm of pancreatic duct,Any malignancy
ByuFG,[X]Other carcinoma in situ of breast,Any malignancy
B01z.,Malignant neoplasm of tongue NOS,Any malignancy
B6106,Hodgkin's paragranuloma of intrapelvic lymph nodes,Any malignancy
203 A,SOLITARY MYELOMA,Any malignancy
B2221,Malignant neoplasm of upper lobe of lung,Any malignancy
174 P,PAGET'S DISEASE BREAST,Any malignancy
B808z,Carcinoma in situ of liver or biliary system NOS,Any malignancy
B074.,"Malignant neoplasm, overlapping lesion of nasopharynx",Any malignancy
1600A,MALIGNANT NEOPLASM NOSE INTERNAL,Any malignancy
2059N,LEUKAEMIA NEUTROPHILIC,Any malignancy
BBN5.,[M]Clear cell sarcoma of tendons and aponeuroses,Any malignancy
1719F,FIBROSARCOMA,Any malignancy
BBj10,"[M]Hodgkin,s disease, lymphocytic predominance, diffuse",Any malignancy
B41y1,Malignant neoplasm of squamocolumnar junction of cervix,Any malignancy
BBN2.,"[M]Synovial sarcoma, spindle cell type",Any malignancy
B066.,Malignant neoplasm of lateral wall of oropharynx,Any malignancy
B3113,Malignant neoplasm of connective and soft tissue of hand,Any malignancy
1601A,MALIGNANT NEOPLASM EAR INNER,Any malignancy
1621C,LUNG CARCINOMA,Any malignancy
B652.,Subacute myeloid leukaemia,Any malignancy
ZV100,[V]Personal history of malignant neoplasm of liver,Any malignancy
BBm..,[M]Miscellaneous reticuloendothelial neoplasms,Any malignancy
B6252,Letterer-Siwe disease of intrathoracic lymph nodes,Any malignancy
B339.,Dermatofibrosarcoma protuberans,Any malignancy
B160.,Carcinoma gallbladder,Any malignancy
BB9K.,[M]Paget's disease and infiltrating breast duct carcinoma,Any malignancy
Byu73,"[X]Malignant neoplasm of female genital organ, unspecified",Any malignancy
1830T,OVARIAN TUMOUR,Any malignancy
2050,MYELOID LEUKAEMIA ACUTE,Any malignancy
B5511,Malignant neoplasm of chest wall NOS,Any malignancy
B10..,Malignant neoplasm of oesophagus,Any malignancy
BB5P.,[M]Solid carcinoma NOS,Any malignancy
B21..,Malignant neoplasm of larynx,Any malignancy
ZV676,[V]Follow-up examination aft surgery for malignant neoplasm,Any malignancy
B6216,Mycosis fungoides of intrapelvic lymph nodes,Any malignancy
1550H,MALIGNANT NEOPLASM HEPATOCELLULAR,Any malignancy
BB5L2,[M]Adenocarcinoma in situ in adenomatous polyp,Any malignancy
B5505,Malignant neoplasm of supraclavicular fossa NOS,Any malignancy
B3141,Malig neoplasm of connective and soft tissues of lumb spine,Any malignancy
B11z.,Malignant neoplasm of stomach NOS,Any malignancy
1550A,MALIGNANT NEOPLASM LIVER,Any malignancy
1959B,MALIGNANT NEOPLASM THORAX/THORACIC WALL,Any malignancy
1519B,MALIGNANT LYMPHOMA STOMACH,Any malignancy
1959C,MALIGNANT NEOPLASM FINGER,Any malignancy
B6135,"Hodgkin's, lymphocytic-histiocytic pred inguinal and leg",Any malignancy
B6134,"Hodgkin's, lymphocytic-histiocytic pred axilla and arm",Any malignancy
B8300,Lobular carcinoma in situ of breast,Any malignancy
BB5R1,"[M]Carcinoid tumour, malignant",Any malignancy
BBCA.,[M]Sertoli cell carcinoma,Any malignancy
1719A,NEOPLASM MALIGNANT SUBCUTANEOUS TISSUE,Any malignancy
B520z,Malignant neoplasm of cranial nerves NOS,Any malignancy
B161z,Malignant neoplasm of extrahepatic bile ducts NOS,Any malignancy
B524X,"Malignant neoplasm/peripheral nerves of trunk,unspecified",Any malignancy
B498.,Local recurrence of malignant tumour of urinary bladder,Any malignancy
B62y.,Malignant lymphoma NOS,Any malignancy
B653z,Myeloid sarcoma NOS,Any malignancy
BB48.,[M]Basaloid carcinoma,Any malignancy
BBX1.,[M]Giant cell bone sarcoma,Any malignancy
B521.,Malignant neoplasm of cerebral meninges,Any malignancy
B6147,"Hodgkin's disease, nodular sclerosis of spleen",Any malignancy
ByuD2,[X]Other types of diffuse non-Hodgkin's lymphoma,Any malignancy
B2zz.,Malignant neoplasm of respiratory tract NOS,Any malignancy
B3059,Malignant neoplasm of second metacarpal bone,Any malignancy
BB62z,[M]Apocrine adenoma or adenocarcinoma NOS,Any malignancy
B011z,Malignant neoplasm of dorsum of tongue NOS,Any malignancy
B03z.,Malignant neoplasm of gum NOS,Any malignancy
B138.,"Malignant neoplasm, overlapping lesion of colon",Any malignancy
B835.,Carcinoma in situ of penis,Any malignancy
1589M,MESOTHELIOMA PERITONEUM,Any malignancy
B3089,Malignant neoplasm of second metatarsal bone,Any malignancy
BBgJ.,"[M]Malignant lymphoma, centroblastic type NOS",Any malignancy
B430z,Malignant neoplasm of corpus uteri NOS,Any malignancy
B62E8,Blastic NK-cell lymphoma,Any malignancy
4M70.,Clark melanoma level 1,Any malignancy
B305D,Malignant neoplasm of phalanges of hand,Any malignancy
B130.,Malignant neoplasm of hepatic flexure of colon,Any malignancy
BBZG.,"[M]Ameloblastoma, malignant",Any malignancy
B6242,Leukaemic reticuloendotheliosis of intrathoracic lymph nodes,Any malignancy
B0z..,"Malig neop other/ill-defined sites lip, oral cavity, pharynx",Any malignancy
B5...,Carcinoma of other and unspecified sites,Any malignancy
BB5D.,[M]Hepatobiliary tract adenomas and carcinomas,Any malignancy
203,MYELOMA MULTIPLE,Any malignancy
B542.,Malignant neoplasm pituitary gland and craniopharyngeal duct,Any malignancy
B551.,Malignant neoplasm of thorax,Any malignancy
B3086,Malignant neoplasm of cuboid,Any malignancy
BBDB.,[M]Glomoid sarcoma,Any malignancy
ByuA.,"[X]Malignant neoplasm of eye, brain and other parts of cent",Any malignancy
2070M,MEGAKARYOCYTIC LEUKAEMIA ACUTE,Any malignancy
1550H,HEPATOBLASTOMA,Any malignancy
BBEz.,[M]Naevi or melanoma NOS,Any malignancy
B3z..,"Malig neop of bone, connective tissue, skin and breast NOS",Any malignancy
14250,H/O Malignant melanoma,Any malignancy
1519A,GASTRIC CANCER,Any malignancy
B2413,Malignant neoplasm of pericardium,Any malignancy
B624.,Leukaemic reticuloendotheliosis,Any malignancy
B6254,Letterer-Siwe disease of lymph nodes of axilla and arm,Any malignancy
BB1L.,"[M]Small cell carcinoma, fusiform cell type",Any malignancy
B073.,Malignant neoplasm of anterior wall of nasopharynx,Any malignancy
4M20.,Lymphoma stage I,Any malignancy
B80z0,Carcinoma in situ of pancreas,Any malignancy
1409C,LIP CARCINOMA,Any malignancy
B670.,Di Guglielmo's disease,Any malignancy
B5531,Malignant neoplasm of presacral region,Any malignancy
B6153,Hodgkin's mixed cellularity of intra-abdominal lymph nodes,Any malignancy
B64..,Lymphoid leukaemia,Any malignancy
1709A,MALIGNANT NEOPLASM CARTILAGE,Any malignancy
B6002,Reticulosarcoma of intrathoracic lymph nodes,Any malignancy
B6301,Solitary myeloma,Any malignancy
Byu12,"[X]Malignant neoplasm of intestinal tract, part unspecified",Any malignancy
BBg5.,"[M]Malignant lymphoma, convoluted cell type NOS",Any malignancy
BB91.,[M]Duct carcinoma NOS,Any malignancy
BBP3.,[M]Sarcomatoid mesothelioma,Any malignancy
1959C,MALIGNANT NEOPLASM HAND,Any malignancy
B308.,Malignant neoplasm of metatarsal bones of foot,Any malignancy
1459A,MALIGNANT NEOPLASM MOUTH,Any malignancy
B023.,"Malignant neoplasm, overlapping lesion of major saliv gland",Any malignancy
B010z,Malignant neoplasm of fixed part of tongue NOS,Any malignancy
B14..,"Malignant neoplasm of rectum, rectosigmoid junction and anus",Any malignancy
B62D.,Histiocytic sarcoma,Any malignancy
B064.,Malignant neoplasm of anterior epiglottis,Any malignancy
B001z,"Malignant neoplasm of lower lip, vermilion border NOS",Any malignancy
BB5L1,[M]Adenocarcinoma in adenomatous polyp,Any malignancy
186 E,EMBRYONAL CARCINOMA TESTIS,Any malignancy
B6244,Leukaemic reticuloend of lymph nodes of axilla and arm,Any malignancy
B62y8,Malignant lymphoma NOS of lymph nodes of multiple sites,Any malignancy
B174.,Malignant neoplasm of Islets of Langerhans,Any malignancy
B66..,Monoblastic leukaemia,Any malignancy
B111.,Malignant neoplasm of pylorus of stomach,Any malignancy
B1101,Malignant neoplasm of cardio-oesophageal junction of stomach,Any malignancy
B503.,Malignant neoplasm of conjunctiva,Any malignancy
BBK36,[M]Embryonal rhabdomyosarcoma,Any malignancy
B6213,Mycosis fungoides of intra-abdominal lymph nodes,Any malignancy
B451z,Malignant neoplasm of labia majora NOS,Any malignancy
B0031,"Malignant neoplasm of lower lip, frenulum",Any malignancy
B8033,Carcinoma in situ of sigmoid colon,Any malignancy
BBL9.,[M]Carcinosarcoma NOS,Any malignancy
B3052,Malignant neoplasm of carpal bone - triquetrum,Any malignancy
B61z4,Hodgkin's disease NOS of lymph nodes of axilla and arm,Any malignancy
B6246,Leukaemic reticuloendotheliosis of intrapelvic lymph nodes,Any malignancy
B305.,Malignant neoplasm of hand bones,Any malignancy
B6530,Chloroma,Any malignancy
BBW4.,[M]Chondrosarcoma NOS,Any malignancy
B061.,Malignant neoplasm of tonsillar fossa,Any malignancy
B6100,Hodgkin's paragranuloma of unspecified site,Any malignancy
B134.,Carcinoma of caecum,Any malignancy
B4302,Malignant neoplasm of endometrium,Any malignancy
B553z,Malignant neoplasm of pelvis NOS,Any malignancy
B31z.,"Malignant neoplasm of connective and soft tissue, site NOS",Any malignancy
150 A,MALIGNANT NEOPLASM OESOPHAGUS,Any malignancy
BBL8.,[M]Hepatoblastoma,Any malignancy
B015.,"Malignant neoplasm of tongue, junctional zone",Any malignancy
BBj4.,"[M]Hodgkin's disease,lymphocytic depletion,diffuse fibrosis",Any malignancy
B6108,Hodgkin's paragranuloma of lymph nodes of multiple sites,Any malignancy
B64y5,Adult T-cell lymphoma/leukaemia (HTLV-1-associated),Any malignancy
B67yz,Other and unspecified leukaemia NOS,Any malignancy
B30X.,"Malignant neoplasm/bones+articular cartilage/limb,unspfd",Any malignancy
B4711,Teratoma of descended testis,Any malignancy
B243.,Malignant neoplasm of posterior mediastinum,Any malignancy
B1zz.,Malignant neoplasm of digestive tract and peritoneum NOS,Any malignancy
2029L,LYMPHADENOMA,Any malignancy
B6208,Nodular lymphoma of lymph nodes of multiple sites,Any malignancy
B8040,Carcinoma in situ of rectosigmoid junction,Any malignancy
B807z,Carcinoma in situ other and unspecified small intestine NOS,Any malignancy
203 F,FRANKLIN'S DISEASE,Any malignancy
B6261,"Mast cell malignancy of lymph nodes of head, face and neck",Any malignancy
BBJH.,[M]Dedifferentiated liposarcoma,Any malignancy
B6222,Sezary's disease of intrathoracic lymph nodes,Any malignancy
B660.,Acute monocytic leukaemia,Any malignancy
2079,LEUKAEMIA,Any malignancy
B62F1,Mantle cell lymphoma,Any malignancy
B6138,"Hodgkin's, lymphocytic-histiocytic pred of multiple sites",Any malignancy
B8289,Melanoma in situ of back,Any malignancy
B123.,Malignant neoplasm of Meckel's diverticulum,Any malignancy
B62z2,Unspec malig neop lymphoid/histiocytic of intrathoracic node,Any malignancy
B34..,Malignant neoplasm of female breast,Any malignancy
B003z,"Malignant neoplasm of lower lip, inner aspect NOS",Any malignancy
B66..,Monocytic leukaemia,Any malignancy
B410.,Malignant neoplasm of endocervix,Any malignancy
2070B,LEUKAEMIA STEM CELL,Any malignancy
B3043,Malignant neoplasm of radius,Any malignancy
B3235,Malignant melanoma of temple,Any malignancy
B010.,Malignant neoplasm of posterior third of tongue,Any malignancy
1959A,MALIGNANT NEOPLASM AURICLE,Any malignancy
B62z8,Unspec malig neop lymphoid/histiocytic of multiple sites,Any malignancy
ZV10y,[V]Personal history of malignant neoplasm of thyroid,Any malignancy
BB1D.,[M]Spindle cell carcinoma,Any malignancy
ByuDC,"[X]Diffuse non-Hodgkin's lymphoma, unspecified",Any malignancy
1530C,CARCINOMA CAECUM,Any malignancy
ZV67B,[V]Folow-up exam aft unspec treatment for malignant neoplasm,Any malignancy
4M71.,Clark melanoma level 2,Any malignancy
1890A,ADENOCARCINOMA KIDNEY,Any malignancy
B812z,Carcinoma in situ of bronchus or lung NOS,Any malignancy
B3256,Malignant melanoma of umbilicus,Any malignancy
BBk7.,"[M]Malignant lymphoma, centroblastic type, follicular",Any malignancy
1709D,SARCOMA OSTEOGENIC,Any malignancy
B442.,Malignant neoplasm of broad ligament,Any malignancy
BBQ75,"[M]Malignant teratoma, intermediate type",Any malignancy
Byu53,"[X]Kaposi's sarcoma, unspecified",Any malignancy
B225.,Malignant neoplasm of overlapping lesion of bronchus & lung,Any malignancy
B8108,Carcinoma in situ of vocal fold - glottis,Any malignancy
B3271,Malignant melanoma of thigh,Any malignancy
BBV1.,[M]Osteoblastic sarcoma,Any malignancy
203 K,KAHLER'S DISEASE,Any malignancy
B45X.,Malignant neoplasm/overlapping lesion/feml genital organs,Any malignancy
B9110,Malignant hydatidiform mole,Any malignancy
BB5V1,[M]Chromophobe carcinoma,Any malignancy
B1z1z,Malignant neoplasm of spleen NOS,Any malignancy
B470.,Malignant neoplasm of undescended testis,Any malignancy
B3040,Malignant neoplasm of scapula,Any malignancy
B8...,Carcinoma in situ,Any malignancy
B62x2,Peripheral T-cell lymphoma,Any malignancy
BB60.,[M]Skin appendage adenoma and carcinoma,Any malignancy
Byu80,[X]Malignant neoplasm/other specified male genital organs,Any malignancy
B0033,"Malignant neoplasm of lower lip, oral aspect",Any malignancy
1923,MENINGIOMA SPINAL CORD MALIGNANT,Any malignancy
Byu5.,[X]Malignant neoplasm of mesothelial and soft tissue,Any malignancy
B49..,Malignant neoplasm of urinary bladder,Any malignancy
2070,LEUKAEMIA ACUTE,Any malignancy
B492.,Malignant neoplasm of lateral wall of urinary bladder,Any malignancy
B6277,Diffuse non-Hodgkin's lymphoblastic (diffuse) lymphoma,Any malignancy
147 A,MALIGNANT NEOPLASM ADENOID,Any malignancy
B81y0,Carcinoma in situ of pleura,Any malignancy
B621z,Mycosis fungoides NOS,Any malignancy
B5210,Malignant neoplasm of cerebral dura mater,Any malignancy
B332z,Malig neop skin of ear and external auricular canal NOS,Any malignancy
B808.,Carcinoma in situ of biliary system,Any malignancy
B0...,"Malignant neoplasm of lip, oral cavity and pharynx",Any malignancy
B5100,Malignant neoplasm of basal ganglia,Any malignancy
1529C,CARCINOMA SMALL INTESTINE,Any malignancy
BBp1.,[M]Mast cell sarcoma,Any malignancy
B3054,Malignant neoplasm of carpal bone - trapezium,Any malignancy
B22..,"Malignant neoplasm of trachea, bronchus and lung",Any malignancy
BBe7.,"[M]Neurilemmoma, malignant",Any malignancy
1550C,CARCINOMA LIVER,Any malignancy
ZV107,[V]Personal history other lymphatic/haematopoietic neoplasm,Any malignancy
BBM7.,"[M]Cystosarcoma phyllodes, benign",Any malignancy
1925N,NEUROBLASTOMA,Any malignancy
1929D,OLIGODENDROGLIOMA,Any malignancy
B3371,Malignant neoplasm of skin of thigh,Any malignancy
A220.,Malignant pustule,Any malignancy
2072M,ERYTHRAEMIC MYELOSIS ACUTE,Any malignancy
B496.,Malignant neoplasm of ureteric orifice,Any malignancy
B241z,Malignant neoplasm of heart NOS,Any malignancy
B802.,Carcinoma in situ of stomach,Any malignancy
B5200,Malignant neoplasm of olfactory bulb,Any malignancy
B0513,Malignant neoplasm of lower labial sulcus,Any malignancy
1959A,MALIGNANT NEOPLASM SUBMENTAL,Any malignancy
B3020,Malignant neoplasm of cervical vertebra,Any malignancy
B544.,Malignant neoplasm of carotid body,Any malignancy
B8287,Melanoma in situ of scalp,Any malignancy
B3370,Malignant neoplasm of skin of hip,Any malignancy
BBg6.,[M]Lymphosarcoma NOS,Any malignancy
B804.,Carcinoma in situ of rectum and rectosigmoid junction,Any malignancy
BBgG.,[M]Lymphoblastoma NOS,Any malignancy
B3081,Malignant neoplasm of talus,Any malignancy
Byu50,[X]Mesothelioma of other sites,Any malignancy
B8262,Carcinoma in situ of skin of lower arm,Any malignancy
B5246,"Malignant neoplasm,overlap lesion periph nerve & auton ns",Any malignancy
B309.,"Malignant neoplasm, overlap les bone and artic cart of limbs",Any malignancy
B02y.,Malignant neoplasm of other major salivary glands,Any malignancy
1960A,MALIGNANT NEOPLASM CERVICAL LYMPH GLAND,Any malignancy
1539A,MALIGNANT NEOPLASM INTESTINE,Any malignancy
B501.,Malignant neoplasm of orbit,Any malignancy
D4011,Familial erythrophagocytic lymph histiocytosis,Any malignancy
B4z..,Malignant neoplasm of genitourinary organ NOS,Any malignancy
B80..,Carcinoma in situ of digestive organs,Any malignancy
1959B,MALIGNANT NEOPLASM CHEST WALL,Any malignancy
B837.,Carcinoma in situ of bladder,Any malignancy
BBe9.,"[M]Triton tumour, malignant",Any malignancy
B312.,Malig neop of connective and soft tissue of hip and leg,Any malignancy
B3002,Malignant neoplasm of malar bone,Any malignancy
B0032,"Malignant neoplasm of lower lip, mucosa",Any malignancy
Byu30,[X]Mal neoplasm/overlap lesion/bone??? cartilage/limb,Any malignancy
B8120,Carcinoma in situ of carina of bronchus,Any malignancy
B303z,"Malignant neoplasm of rib, sternum and clavicle NOS",Any malignancy
B080.,Malignant neoplasm of postcricoid region,Any malignancy
B545z,Malignant neoplasm of aortic body or paraganglia NOS,Any malignancy
1991M,MALIGNANCY RECURRENT,Any malignancy
B067.,Malignant neoplasm of posterior wall of oropharynx,Any malignancy
B497.,Malignant neoplasm of urachus,Any malignancy
B0732,Malignant neoplasm posterior margin nasal septum and choanae,Any malignancy
BBm5.,[M] Peripheral T-cell lymphoma NOS,Any malignancy
B6205,Nodular lymphoma of lymph nodes of inguinal region and leg,Any malignancy
B2201,Malignant neoplasm of mucosa of trachea,Any malignancy
BB821,[M]Gelatinous adenocarcinoma,Any malignancy
ByuF6,[X]Melanoma in situ of other sites,Any malignancy
B806.,Carcinoma in situ of anus NOS,Any malignancy
B64..,Lymphatic leukaemia,Any malignancy
B672.,Thrombocytic leukaemia,Any malignancy
B81yz,Carcinoma in situ of specified parts respiratory system NOS,Any malignancy
B45..,Malig neop of other and unspecified female genital organs,Any malignancy
B8240,Carcinoma in situ of scalp,Any malignancy
